league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,-0.08777953,-0.33224815,-0.092682034,0.6978156,0.8059188,0.74029136,-0.48165506,-0.043479793,-0.32320836,0.3749651
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,MF,25,1999,0.26709107,0.27740303,-0.32768437,0.29964724,-0.10106416,0.161889,-0.13263066,0.058086388,-0.20413215,-0.022421788
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,0.08023285,-0.37322864,0.54020256,0.5896949,0.8069665,-0.15072648,-0.34416413,0.12995754,-0.5071663,0.07067895
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,DF,24,2000,0.029949527,-0.35426825,0.2484914,-0.728914,-0.5603059,0.49563012,-0.025952665,0.42364365,-0.80779845,0.6838185
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,DF,23,2001,0.11579203,0.098995596,-0.12541465,-0.2034412,0.2425414,-0.10889782,0.20931366,0.056488063,-0.41732135,0.083834685
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,-0.5082437,-0.34263515,0.12732302,-0.14995322,0.6359697,0.01778735,-0.51525563,0.031127518,-0.1027604,0.25924537
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,FW,29,1994,0.0323554,0.14938134,0.07292532,0.41009104,0.6428651,-0.067751214,-0.37472603,0.023618754,-0.15186356,-0.05357754
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,MF,25,1998,0.6890973,-0.32179493,-0.5319426,0.4234704,0.24573667,0.8125328,-0.060564604,0.083841324,-0.031161513,0.046517074
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,-0.7416241,0.07421906,0.115215845,-0.30839166,0.32738364,-0.02966983,-0.35858333,-0.0038198568,-0.2828352,0.2906234
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,0.23921765,-0.29800013,0.25790188,-0.5629782,-0.08871074,0.43651593,0.051041175,0.5472543,-0.78358096,0.5773504
