league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,0.21898165,-0.1479824,-0.055021573,0.058166582,-0.49284106,0.21198188,0.6352196,-0.15025237,0.3176906,-0.6410262
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,MF,25,1999,-0.22401884,-0.02379499,-0.28633186,0.008922974,-0.3668347,0.08376751,0.75439614,0.05597794,-0.057891082,-0.22431757
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,-0.26788935,0.0654573,0.0112200435,-0.10697188,-0.2821875,-0.2445182,0.7933534,-0.39678684,0.285404,-0.6458298
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,DF,24,2000,-0.64835465,-0.13214047,-0.7681481,-0.28083974,0.1654948,-0.113116466,0.8999933,0.05487949,0.5612846,-0.3553847
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,DF,23,2001,-0.3543965,0.06635243,-0.5481872,-0.37375957,-0.42167228,-0.20216951,0.78678447,0.050144624,0.09181478,-0.4800477
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,-0.3194446,-0.3402508,-0.0966054,-0.46856716,-0.18674135,-0.028657995,0.76803064,-0.08489866,0.14308873,-0.55988455
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,FW,29,1994,-0.19628967,0.040895615,-0.15601192,-0.09456958,-0.3618736,0.028552994,0.7240205,-0.13945599,-0.050278634,-0.5658696
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,MF,25,1998,-0.09119417,0.15019734,-0.2524567,0.012588153,-0.5388856,-0.121383324,0.6495589,0.2573365,0.3607805,-0.13761827
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,-0.40545064,-0.26495868,-0.28846452,-0.48270226,-0.19548199,0.3136481,0.88571316,-0.01999791,0.04658577,-0.57688266
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,-0.51477015,0.17374606,-0.6625659,-0.32450616,0.03222208,-0.1622363,0.8870399,-0.018404879,0.51672333,-0.4666819
