league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,0.25016904,-0.088023745,0.06429316,0.12132158,0.029247593,0.20932943,0.20727068,-0.6510189,0.18360965,0.24208966
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,MF,25,1999,0.2109114,-0.087453246,-0.35692704,-0.28358328,0.083114326,0.11180836,0.15127216,-0.30958238,-0.0975858,0.04706886
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,-0.007933472,-0.41299027,-0.115273535,-0.18095057,-0.01528673,0.12471756,0.21255447,-0.6431808,-0.3518156,0.6036212
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,DF,24,2000,-0.27737838,-0.09363563,-0.81481487,0.3667356,0.26715916,0.1312342,-0.29370326,-0.28494927,-0.45466438,-0.0099485805
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,DF,23,2001,0.11724288,-0.4764228,-0.5621749,-0.15058511,0.025626583,0.12901671,0.20397009,-0.5303376,-0.3337424,-0.19890818
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,-0.12435222,-0.3152021,-0.071415916,0.030056514,0.4530297,0.14833666,0.11630883,-0.6047039,-0.36066428,0.20495051
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,FW,29,1994,0.12071727,-0.27598184,-0.1383841,-0.28321397,0.14056477,0.05439485,0.2320733,-0.68561786,-0.12454593,0.27214172
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,MF,25,1998,0.38419688,-0.009482543,-0.1799652,-0.22851236,-0.16953298,0.42669326,-0.005590753,-0.64218956,0.009904925,0.06102703
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,-0.13908109,-0.1833142,-0.20683715,0.17695668,0.45322505,-0.03371412,0.21315543,-0.46812397,-0.3480261,0.09676268
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,-0.29105094,-0.1979316,-0.7814821,0.27299088,-0.016115917,0.1434229,-0.13306911,-0.45910567,-0.45443153,0.1811363
ENG-Premier League,2024 - 2025,Arsenal,Riccardo Calafiori,ITA,DF,22,2002,-0.1116818,-0.1514591,-0.5547534,0.46090242,0.20146132,0.023887891,-0.06877107,-0.35908902,-0.36053175,0.0054070177
ENG-Premier League,2024 - 2025,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,-0.015489971,-0.06625598,-0.5517315,-0.24328361,0.10618849,-0.14943883,0.40381423,-0.2641949,-0.3666182,-0.30258414
ENG-Premier League,2024 - 2025,Arsenal,William Saliba,FRA,DF,23,2001,-0.5144952,-0.18342488,-0.6763867,-0.31096476,0.17157185,0.26661006,-0.12475944,0.3433006,-0.6092597,-0.5320225
ENG-Premier League,2024 - 2025,Aston Villa,Amadou Onana,BEL,MF,22,2001,-0.087889254,-0.19681591,-0.5067881,0.21907827,0.19639629,-0.13235015,0.028047623,-0.3562332,-0.5272876,-0.24053712
ENG-Premier League,2024 - 2025,Aston Villa,Boubacar Kamara,FRA,MF,24,1999,0.12625282,-0.19195245,-0.6709847,0.121543944,0.28230256,-0.021455321,0.11439736,-0.49445996,-0.5556534,-0.17796564
ENG-Premier League,2024 - 2025,Aston Villa,Ezri Konsa,ENG,DF,26,1997,-0.23367053,-0.38567308,-0.7330564,-0.21755658,0.22545028,0.18016516,-0.22008097,-0.093126684,-0.5629971,-0.33899853
ENG-Premier League,2024 - 2025,Aston Villa,Ian Maatsen,NED,DF,22,2002,0.17491937,-0.13381508,-0.5177272,0.29468253,0.09507651,0.18340124,0.1516527,-0.5276043,-0.303683,0.2737186
ENG-Premier League,2024 - 2025,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001,0.19426513,-0.393939,-0.36628112,0.16766006,-0.036663856,0.118894026,0.06577362,-0.6305975,-0.31734455,-0.009387466
ENG-Premier League,2024 - 2025,Aston Villa,John McGinn,SCO,"MF,FW",29,1994,0.38159072,-0.28604636,-0.35663205,-0.051113367,0.17630555,0.119108126,0.13254847,-0.5848627,-0.2885427,-0.031530872
ENG-Premier League,2024 - 2025,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,0.30710286,-0.32498762,-0.26531354,0.324485,-0.014322232,0.13782257,-0.077397004,-0.6643078,-0.28589022,0.3587016
