cluster,most freq pos,player count,other positions,top 5 features
0,"CB(250, 98.0%)",255,"CDM(3, 1.2%), RB(1, 0.4%), ST(1, 0.4%)",Total_TotDist | Receiving_Rec | Short_Cmp% | Receiving_PrgR | Medium_Cmp%
1,"ST(145, 66.2%)",219,"RM(19, 8.7%), LM(18, 8.2%), CAM(16, 7.3%), CM(10, 4.6%), LW(7, 3.2%), RW(2, 0.9%), LB(1, 0.5%), RB(1, 0.5%)",Long_Cmp | CrsPA | Take-Ons_Succ% | Take-Ons_Att | Long_Cmp%
2,"CM(48, 28.4%)",169,"LB(42, 24.9%), CAM(24, 14.2%), RB(24, 14.2%), LM(13, 7.7%), RM(8, 4.7%), CDM(7, 4.1%), ST(2, 1.2%), RW(1, 0.6%)",Standard_Sh/90 | Standard_Sh | Expected_A-xAG | Standard_PK | Performance_PK
3,"CAM(27, 28.4%)",95,"ST(20, 21.1%), RW(15, 15.8%), RM(15, 15.8%), LM(10, 10.5%), CM(5, 5.3%), LW(3, 3.2%)",Playing Time_Starts | Standard_Gls | Playing Time_Min | Expected_npxG+xAG | Expected_xAG
4,"CM(121, 31.1%)",389,"LB(75, 19.3%), RB(71, 18.3%), CDM(34, 8.7%), CAM(30, 7.7%), RM(29, 7.5%), LM(14, 3.6%), CB(12, 3.1%), LW(2, 0.5%), RW(1, 0.3%)",Carries_1/3 | Take-Ons_Succ% | Take-Ons_Att | Int | Tackles_TklW
5,"ST(94, 80.3%)",117,"LW(6, 5.1%), LM(6, 5.1%), CM(4, 3.4%), RM(4, 3.4%), CAM(2, 1.7%), RW(1, 0.9%)",Progression_PrgC | Expected_npxG | Per 90 Minutes_G+A | Progression_PrgR | Progression_PrgP
6,"RM(42, 29.2%)",144,"LM(39, 27.1%), LW(21, 14.6%), CAM(16, 11.1%), RW(14, 9.7%), ST(7, 4.9%), CM(3, 2.1%), RB(1, 0.7%), LB(1, 0.7%)",Err | Tackles_Mid 3rd | Performance_CrdY | Carries_Mis | Carries_CPA
7,"CM(21, 42.0%)",50,"CDM(12, 24.0%), CAM(8, 16.0%), RB(8, 16.0%), LM(1, 2.0%)",Performance_CrdR | Expected_xA | Standard_G/SoT | Standard_Sh/90 | Expected_A-xAG
8,"CDM(63, 30.9%)",204,"CM(50, 24.5%), RB(35, 17.2%), CB(29, 14.2%), LB(23, 11.3%), LM(3, 1.5%), RM(1, 0.5%)",Take-Ons_Succ | Standard_G/SoT | Long_Att | KP | Medium_Cmp
9,"CB(129, 97.7%)",132,"LB(2, 1.5%), CDM(1, 0.8%)",Ast | 1/3 | Medium_Cmp% | Receiving_PrgR | PPA
10,"CDM(55, 29.4%)",187,"LB(53, 28.3%), RB(41, 21.9%), CM(28, 15.0%), CB(5, 2.7%), LM(3, 1.6%), CAM(2, 1.1%)",Challenges_Lost | Challenges_Tkl | Total_Cmp% | Total_Att | Challenges_Tkl%
11,"RM(53, 22.3%)",238,"LM(50, 21.0%), CAM(44, 18.5%), ST(27, 11.3%), CM(19, 8.0%), RW(18, 7.6%), LW(18, 7.6%), LB(5, 2.1%), RB(3, 1.3%), CDM(1, 0.4%)",Per 90 Minutes_Gls | Take-Ons_Succ | Receiving_PrgR | 1/3 | Expected_xAG
12,"CB(154, 92.2%)",167,"CDM(9, 5.4%), RM(2, 1.2%), CM(1, 0.6%), LB(1, 0.6%)",Carries_PrgDist | Tackles_Def 3rd | Tkl+Int | Expected_xG | Tackles_Att 3rd
13,"RM(16, 24.2%)",66,"RW(12, 18.2%), CAM(11, 16.7%), LM(10, 15.2%), LW(8, 12.1%), ST(3, 4.5%), CM(3, 4.5%), RB(2, 3.0%), CB(1, 1.5%)",Err | PrgP | Performance_PK | Standard_Sh | Performance_CrdY
14,"CDM(108, 41.4%)",261,"CM(61, 23.4%), RB(51, 19.5%), LB(23, 8.8%), CB(17, 6.5%), ST(1, 0.4%)",Progression_PrgP | Per 90 Minutes_G-PK | Expected_npxG+xAG | Per 90 Minutes_xG+xAG | Per 90 Minutes_npxG+xAG
15,"CM(73, 28.1%)",260,"LB(54, 20.8%), RB(35, 13.5%), CAM(33, 12.7%), RM(29, 11.2%), LM(15, 5.8%), CDM(13, 5.0%), ST(4, 1.5%), RW(2, 0.8%), LW(1, 0.4%), CB(1, 0.4%)",Standard_PK | Short_Cmp | Total_Cmp | Take-Ons_Tkld | Receiving_Rec
16,"ST(116, 90.6%)",128,"LM(4, 3.1%), CAM(3, 2.3%), RW(2, 1.6%), RM(2, 1.6%), LW(1, 0.8%)",Performance_G-PK | Performance_G+A | Progression_PrgR | Per 90 Minutes_G+A | Carries_TotDist
17,"CB(109, 69.0%)",158,"CDM(14, 8.9%), CM(14, 8.9%), RB(10, 6.3%), LB(9, 5.7%), LW(2, 1.3%)",Per 90 Minutes_npxG+xAG | 90s | Tackles_Def 3rd | Carries_PrgDist | Tackles_Att 3rd
18,"ST(49, 96.1%)",51,"LM(1, 2.0%), CAM(1, 2.0%)",Performance_G+A | Performance_G-PK | Expected_G-xG | Playing Time_MP | Playing Time_90s
19,"CDM(40, 39.2%)",102,"CM(31, 30.4%), CB(13, 12.7%), RB(11, 10.8%), LB(6, 5.9%), ST(1, 1.0%)",Standard_G/SoT | Take-Ons_Succ | Expected_xA | Performance_CrdR | Long_Att
