target_player,target_season,model_used,rank,player,age,team,pos,league,season,Match %
Alessandro Bastoni,2024 - 2025,Ensemble,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,90.6%
Alessandro Bastoni,2024 - 2025,Ensemble,2,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,83.9%
Alessandro Bastoni,2024 - 2025,Ensemble,3,Riccardo Calafiori,21,Bologna,DF,ITA-Serie A,2023 - 2024,82.8%
Alessandro Bastoni,2024 - 2025,Ensemble,4,Piero Hincapié,22,Leverkusen,DF,GER-Bundesliga,2024 - 2025,82.6%
Alessandro Bastoni,2024 - 2025,Ensemble,5,Facundo Medina,23,Lens,DF,FRA-Ligue 1,2022 - 2023,82.3%
Alessandro Bastoni,2024 - 2025,Mix ReLU,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,99.0%
Alessandro Bastoni,2024 - 2025,Mix ReLU,2,Matteo Ruggeri,21,Atalanta,DF,ITA-Serie A,2023 - 2024,97.9%
Alessandro Bastoni,2024 - 2025,Mix ReLU,3,Gabriele Zappa,23,Cagliari,DF,ITA-Serie A,2023 - 2024,97.5%
Alessandro Bastoni,2024 - 2025,Mix ReLU,4,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,97.4%
Alessandro Bastoni,2024 - 2025,Mix ReLU,5,Facundo Medina,23,Lens,DF,FRA-Ligue 1,2022 - 2023,97.4%
Alessandro Bastoni,2024 - 2025,Mix Tanh,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,88.7%
Alessandro Bastoni,2024 - 2025,Mix Tanh,2,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,88.4%
Alessandro Bastoni,2024 - 2025,Mix Tanh,3,Matteo Ruggeri,22,Atalanta,DF,ITA-Serie A,2024 - 2025,84.9%
Alessandro Bastoni,2024 - 2025,Mix Tanh,4,Riccardo Calafiori,21,Bologna,DF,ITA-Serie A,2023 - 2024,83.2%
Alessandro Bastoni,2024 - 2025,Mix Tanh,5,Angelo Stiller,23,Stuttgart,MF,GER-Bundesliga,2024 - 2025,82.8%
Alessandro Bastoni,2024 - 2025,ReLU + Tanh bottleneck,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,93.3%
Alessandro Bastoni,2024 - 2025,ReLU + Tanh bottleneck,2,Piero Hincapié,22,Leverkusen,DF,GER-Bundesliga,2024 - 2025,83.2%
Alessandro Bastoni,2024 - 2025,ReLU + Tanh bottleneck,3,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,82.0%
Alessandro Bastoni,2024 - 2025,ReLU + Tanh bottleneck,4,Riccardo Calafiori,21,Bologna,DF,ITA-Serie A,2023 - 2024,79.8%
Alessandro Bastoni,2024 - 2025,ReLU + Tanh bottleneck,5,Angelo Stiller,23,Stuttgart,MF,GER-Bundesliga,2024 - 2025,79.8%
Alessandro Bastoni,2024 - 2025,ReLu + Dropout,1,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,97.7%
Alessandro Bastoni,2024 - 2025,ReLu + Dropout,2,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,97.5%
Alessandro Bastoni,2024 - 2025,ReLu + Dropout,3,Riccardo Calafiori,21,Bologna,DF,ITA-Serie A,2023 - 2024,97.4%
Alessandro Bastoni,2024 - 2025,ReLu + Dropout,4,Angelo Stiller,23,Stuttgart,MF,GER-Bundesliga,2024 - 2025,97.2%
Alessandro Bastoni,2024 - 2025,ReLu + Dropout,5,Matteo Ruggeri,22,Atalanta,DF,ITA-Serie A,2024 - 2025,97.2%
Alessandro Bastoni,2024 - 2025,Relu,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,98.6%
Alessandro Bastoni,2024 - 2025,Relu,2,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,97.9%
Alessandro Bastoni,2024 - 2025,Relu,3,Mario Gila,23,Lazio,DF,ITA-Serie A,2024 - 2025,97.7%
Alessandro Bastoni,2024 - 2025,Relu,4,Angelo Stiller,23,Stuttgart,MF,GER-Bundesliga,2024 - 2025,97.6%
Alessandro Bastoni,2024 - 2025,Relu,5,Piero Hincapié,22,Leverkusen,DF,GER-Bundesliga,2024 - 2025,97.5%
Alessandro Bastoni,2024 - 2025,Tanh,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,87.5%
Alessandro Bastoni,2024 - 2025,Tanh,2,Angelo Stiller,22,Stuttgart,MF,GER-Bundesliga,2023 - 2024,84.2%
Alessandro Bastoni,2024 - 2025,Tanh,3,Facundo Medina,23,Lens,DF,FRA-Ligue 1,2022 - 2023,84.0%
Alessandro Bastoni,2024 - 2025,Tanh,4,Jean-Clair Todibo,23,Nice,DF,FRA-Ligue 1,2023 - 2024,81.9%
Alessandro Bastoni,2024 - 2025,Tanh,5,Piero Hincapié,22,Leverkusen,DF,GER-Bundesliga,2024 - 2025,80.9%
Alessandro Bastoni,2024 - 2025,Tanh + Dropout,1,Jules Koundé,23,Barcelona,DF,ESP-La Liga,2022 - 2023,91.0%
Alessandro Bastoni,2024 - 2025,Tanh + Dropout,2,Facundo Medina,23,Lens,DF,FRA-Ligue 1,2022 - 2023,90.0%
Alessandro Bastoni,2024 - 2025,Tanh + Dropout,3,Riccardo Calafiori,21,Bologna,DF,ITA-Serie A,2023 - 2024,87.9%
Alessandro Bastoni,2024 - 2025,Tanh + Dropout,4,Raoul Bellanova,23,Torino,DF,ITA-Serie A,2023 - 2024,86.2%
Alessandro Bastoni,2024 - 2025,Tanh + Dropout,5,Miguel Gutiérrez,22,Girona,DF,ESP-La Liga,2023 - 2024,86.2%
Andrea Pinamonti,2024 - 2025,Ensemble,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,93.6%
Andrea Pinamonti,2024 - 2025,Ensemble,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,92.9%
Andrea Pinamonti,2024 - 2025,Ensemble,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,92.5%
Andrea Pinamonti,2024 - 2025,Ensemble,4,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,89.4%
Andrea Pinamonti,2024 - 2025,Ensemble,5,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,88.4%
Andrea Pinamonti,2024 - 2025,Mix ReLU,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,98.6%
Andrea Pinamonti,2024 - 2025,Mix ReLU,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.6%
Andrea Pinamonti,2024 - 2025,Mix ReLU,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,98.3%
Andrea Pinamonti,2024 - 2025,Mix ReLU,4,Santiago Castro,19,Bologna,FW,ITA-Serie A,2024 - 2025,98.2%
Andrea Pinamonti,2024 - 2025,Mix ReLU,5,Sergio Camello,21,Rayo Vallecano,FW,ESP-La Liga,2022 - 2023,97.6%
Andrea Pinamonti,2024 - 2025,Mix Tanh,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,88.6%
Andrea Pinamonti,2024 - 2025,Mix Tanh,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,88.4%
Andrea Pinamonti,2024 - 2025,Mix Tanh,3,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,86.7%
Andrea Pinamonti,2024 - 2025,Mix Tanh,4,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,80.9%
Andrea Pinamonti,2024 - 2025,Mix Tanh,5,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,80.3%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,94.8%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,91.6%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,3,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,90.9%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,4,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,90.5%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,88.2%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,1,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.8%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,2,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,97.9%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,96.6%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,4,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,95.6%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,95.6%
Andrea Pinamonti,2024 - 2025,Relu,1,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,98.8%
Andrea Pinamonti,2024 - 2025,Relu,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.1%
Andrea Pinamonti,2024 - 2025,Relu,3,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,97.7%
Andrea Pinamonti,2024 - 2025,Relu,4,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,97.2%
Andrea Pinamonti,2024 - 2025,Relu,5,Elye Wahi,19,Montpellier,FW,FRA-Ligue 1,2022 - 2023,97.1%
Andrea Pinamonti,2024 - 2025,Tanh,1,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,93.1%
Andrea Pinamonti,2024 - 2025,Tanh,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,91.7%
Andrea Pinamonti,2024 - 2025,Tanh,3,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,89.3%
Andrea Pinamonti,2024 - 2025,Tanh,4,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,86.0%
Andrea Pinamonti,2024 - 2025,Tanh,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,85.7%
