league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,90s,Expected_G-xG,Expected_np:G-xG,Expected_npxG/Sh,Standard_Dist,Standard_FK,Standard_G/Sh,Standard_G/SoT,Standard_Gls,Standard_PK,Standard_PKatt,Standard_Sh,Standard_Sh/90,Standard_SoT,Standard_SoT%,Standard_SoT/90,1/3,Ast,CrsPA,Expected_A-xAG,Expected_xA,KP,Long_Att,Long_Cmp,Long_Cmp%,Medium_Att,Medium_Cmp,Medium_Cmp%,PPA,PrgP,Short_Att,Short_Cmp,Short_Cmp%,Total_Att,Total_Cmp,Total_Cmp%,Total_PrgDist,Total_TotDist,xAG,Blocks_Blocks,Blocks_Pass,Blocks_Sh,Challenges_Att,Challenges_Lost,Challenges_Tkl,Challenges_Tkl%,Clr,Err,Int,Tackles_Att 3rd,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Tkl,Tackles_TklW,Tkl+Int,Carries_1/3,Carries_CPA,Carries_Carries,Carries_Dis,Carries_Mis,Carries_PrgC,Carries_PrgDist,Carries_TotDist,Receiving_PrgR,Receiving_Rec,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Touches_Att 3rd,Touches_Att Pen,Touches_Def 3rd,Touches_Def Pen,Touches_Live,Touches_Mid 3rd,Touches_Touches,Height,Weight,Preferred foot
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,13.3,-0.5,-0.5,0.05,19.4,0,0.0,0.0,0,0,0,9,0.68,2,22.2,0.15,55,2,2,0.6,1.4,10,50,24,48.0,276,234,84.8,11,59,337,309,91.7,692,580,83.8,2998,9173,1.4,10,2,8,38,22,16,42.1,44,0,16,6,10,4,20,14,36,16,4,394,6,10,23,953,1617,42,494,6,0,0.0,5,83.3,238,28,214,55,813,367,813,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,19.2,-0.8,-1.0,0.09,15.6,1,0.08,0.23,6,1,1,66,3.44,22,33.3,1.15,15,10,12,2.4,7.8,58,92,45,48.9,214,154,72.0,38,70,371,334,90.0,731,552,75.5,2487,8408,7.6,22,22,0,24,11,13,54.2,8,0,3,9,9,11,29,15,32,32,51,628,40,34,96,2460,4253,255,711,90,41,45.6,37,41.1,715,162,57,6,978,216,979,178.0,65.0,Left
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,45,0,0,0.0,0.1,1,570,215,37.7,548,537,98.0,3,14,288,285,99.0,1413,1040,73.6,17222,24784,0.0,0,0,0,2,2,0,0.0,21,9,2,0,0,0,0,0,2,0,0,921,0,1,0,2729,4542,0,841,1,1,100.0,0,0.0,0,0,1388,880,1480,92,1480,183.0,75.0,Right
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,31.4,0.5,0.5,0.07,19.6,2,0.08,0.29,4,0,0,48,1.53,14,29.2,0.45,137,7,5,0.4,5.6,59,240,117,48.8,611,553,90.5,35,192,737,678,92.0,1650,1376,83.4,6234,23402,6.6,27,14,13,41,24,17,41.5,51,0,25,6,22,25,53,25,78,58,16,1031,32,36,90,3394,6464,94,1266,29,14,48.3,14,48.3,733,81,325,82,1948,909,1948,185.0,80.0,Right
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,26.3,0.4,0.4,0.12,9.5,0,0.14,0.6,3,0,0,22,0.84,5,22.7,0.19,145,1,0,0.1,1.2,13,154,83,53.9,830,782,94.2,8,126,617,598,96.9,1641,1480,90.2,7938,25788,0.9,42,13,29,16,4,12,75.0,93,2,16,5,12,8,25,15,41,22,0,1116,2,9,10,2669,4470,11,1366,5,4,80.0,1,20.0,225,40,672,189,1873,985,1873,,,
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,25.4,0.6,0.6,0.14,12.9,0,0.15,0.33,8,0,0,55,2.16,24,43.6,0.94,11,4,15,-1.0,4.7,40,52,26,50.0,193,135,69.9,37,52,385,324,84.2,699,499,71.4,1534,7113,5.0,15,15,0,23,16,7,30.4,19,0,5,8,9,6,23,15,28,33,64,670,38,50,124,2620,4985,289,752,109,33,30.3,60,55.0,660,182,102,17,994,247,994,178.0,75.0,Right
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,12.5,0.8,0.8,0.06,18.5,0,0.33,1.0,1,0,0,3,0.24,1,33.3,0.08,65,0,0,-0.3,0.3,5,53,30,56.6,376,358,95.2,3,48,294,278,94.6,736,673,91.4,3392,11598,0.3,13,5,8,15,4,11,73.3,58,3,6,2,13,7,22,8,28,7,1,492,2,3,5,1037,1988,1,615,5,3,60.0,2,40.0,72,5,281,100,846,494,846,189.0,75.0,Left
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,26.9,-0.2,-0.2,0.09,14.1,0,0.07,0.25,1,0,0,14,0.52,4,28.6,0.15,107,3,2,2.2,1.3,17,51,27,52.9,549,472,86.0,17,146,741,674,91.0,1395,1194,85.6,4642,17327,0.8,19,15,4,27,9,18,66.7,44,1,22,11,17,30,58,38,80,27,11,890,24,33,57,2076,3916,104,1052,53,24,45.3,24,45.3,505,66,304,51,1661,859,1661,179.0,78.0,Right
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,20.8,-0.5,-0.5,0.18,11.6,0,0.17,0.43,9,0,0,53,2.54,21,39.6,1.01,27,3,1,0.6,1.7,17,11,5,45.5,115,95,82.6,9,61,340,286,84.1,519,407,78.4,1033,4905,2.4,23,19,4,15,11,4,26.7,33,1,6,7,3,6,16,9,22,23,18,418,23,44,35,954,2012,113,584,38,9,23.7,24,63.2,411,107,92,31,785,287,785,193.0,82.0,Left
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,28.3,0.8,0.8,0.1,15.9,0,0.11,0.38,8,0,0,72,2.55,21,29.2,0.74,45,7,10,0.9,4.1,41,87,43,49.4,357,275,77.0,48,101,439,377,85.9,954,711,74.5,2972,11435,6.1,32,32,0,34,22,12,35.3,18,0,9,9,6,16,31,20,40,55,30,828,52,66,80,2218,5024,226,956,86,38,44.2,37,43.0,762,158,135,17,1278,399,1278,171.0,67.0,Right
