Cluster,Player Count,Dominant Role,Other Roles,Top Pos 1,Top Pos 2,Top Pos 3,Top Neg 1,Top Neg 2,Top Neg 3
0,255,"CB (251, 98.4%)","CDM (3, 1.2%), RB (1, 0.4%)",Total_TotDist (+2.12),Receiving_Rec (+2.06),Short_Cmp% (+2.00),Carries_PrgDist (-1.09),Expected_xG (-1.02),Tkl+Int (-1.02)
1,219,"ST (145, 66.2%)","RM (19, 8.7%), LM (18, 8.2%), CAM (16, 7.3%), CM (10, 4.6%), LW (7, 3.2%), RW (2, 0.9%), LB (1, 0.5%), RB (1, 0.5%)",Expected_npxG/Sh (+0.96),Per 90 Minutes_G+A (+0.86),Standard_G/Sh (+0.84),Long_Cmp (-1.48),CrsPA (-1.33),Take-Ons_Succ% (-1.28)
2,169,"CM (48, 28.4%)","LB (42, 24.9%), CAM (24, 14.2%), RB (24, 14.2%), LM (13, 7.7%), RM (8, 4.7%), CDM (7, 4.1%), ST (2, 1.2%), RW (1, 0.6%)",Standard_Sh/90 (+1.54),Standard_Sh (+1.51),Expected_A-xAG (+1.42),Take-Ons_Tkld (-0.52),Take-Ons_Tkld% (-0.44),Touches_Att 3rd (-0.28)
3,95,"CAM (27, 28.4%)","ST (20, 21.1%), RW (15, 15.8%), RM (15, 15.8%), LM (10, 10.5%), CM (5, 5.3%), LW (3, 3.2%)",Playing Time_Starts (+1.94),Standard_Gls (+1.94),Playing Time_Min (+1.92),Total_PrgDist (-0.90),Receiving_PrgR (-0.74),Short_Cmp% (-0.73)
4,389,"CM (121, 31.1%)","LB (75, 19.3%), RB (71, 18.3%), CDM (34, 8.7%), CAM (30, 7.7%), RM (29, 7.5%), LM (14, 3.6%), CB (12, 3.1%), LW (2, 0.5%), RW (1, 0.3%)",Per 90 Minutes_xG+xAG (+0.40),Carries_PrgC (+0.22),Total_PrgDist (+0.02),Carries_1/3 (-0.90),Take-Ons_Succ% (-0.88),Take-Ons_Att (-0.88)
5,117,"ST (94, 80.3%)","LW (6, 5.1%), LM (6, 5.1%), CM (4, 3.4%), RM (4, 3.4%), CAM (2, 1.7%), RW (1, 0.9%)",Progression_PrgC (+2.43),Expected_npxG (+2.31),Per 90 Minutes_G+A (+2.10),Challenges_Tkl% (-1.21),Take-Ons_Att (-1.20),Take-Ons_Succ% (-1.20)
6,144,"RM (42, 29.2%)","LM (39, 27.1%), LW (21, 14.6%), CAM (16, 11.1%), RW (14, 9.7%), ST (7, 4.9%), CM (3, 2.1%), RB (1, 0.7%), LB (1, 0.7%)",Err (+2.31),Tackles_Mid 3rd (+2.10),Performance_CrdY (+2.10),CrsPA (-0.79),Take-Ons_Tkld (-0.77),Short_Cmp% (-0.70)
7,50,"CM (21, 42.0%)","CDM (12, 24.0%), CAM (8, 16.0%), RB (8, 16.0%), LM (1, 2.0%)",Performance_CrdR (+3.34),Expected_xA (+3.34),Standard_G/SoT (+2.98),Take-Ons_Tkld (-0.51),Take-Ons_Tkld% (-0.43),Standard_PKatt (-0.40)
8,204,"CDM (63, 30.9%)","CM (50, 24.5%), RB (35, 17.2%), CB (29, 14.2%), LB (23, 11.3%), LM (3, 1.5%), RM (1, 0.5%)",Take-Ons_Succ (+0.89),Standard_G/SoT (+0.88),Long_Att (+0.85),Per 90 Minutes_G-PK (-0.62),Per 90 Minutes_G+A (-0.61),Standard_G/Sh (-0.61)
9,132,"CB (129, 97.7%)","LB (2, 1.5%), CDM (1, 0.8%)",Ast (+2.68),1/3 (+2.57),Medium_Cmp% (+2.56),Expected_xG (-1.00),Tkl+Int (-1.00),Per 90 Minutes_Gls (-0.94)
10,187,"CDM (55, 29.4%)","LB (53, 28.3%), RB (41, 21.9%), CM (28, 15.0%), CB (5, 2.7%), LM (3, 1.6%), CAM (2, 1.1%)",Challenges_Lost (+2.06),Challenges_Tkl (+2.02),Total_Cmp% (+1.98),Standard_G/Sh (-0.58),Progression_PrgR (-0.58),Per 90 Minutes_G+A (-0.58)
11,238,"RM (53, 22.3%)","LM (50, 21.0%), CAM (44, 18.5%), ST (27, 11.3%), CM (19, 8.0%), RW (18, 7.6%), LW (18, 7.6%), LB (5, 2.1%), RB (3, 1.3%), CDM (1, 0.4%)",Per 90 Minutes_Gls (+0.87),Expected_xAG (+0.81),Expected_npxG/Sh (+0.80),Take-Ons_Succ (-0.83),Receiving_PrgR (-0.82),1/3 (-0.81)
12,167,"CB (154, 92.2%)","CDM (9, 5.4%), RM (2, 1.2%), CM (1, 0.6%), LB (1, 0.6%)",CrsPA (+1.03),Carries_Dis (+1.01),Take-Ons_Tkld (+1.01),Carries_PrgDist (-1.22),Tackles_Def 3rd (-1.14),Expected_xG (-1.06)
13,66,"RM (16, 24.2%)","RW (12, 18.2%), CAM (11, 16.7%), LM (10, 15.2%), LW (8, 12.1%), ST (3, 4.5%), CM (3, 4.5%), RB (2, 3.0%), CB (1, 1.5%)",Err (+3.09),PrgP (+3.00),Performance_PK (+3.00),Total_TotDist (-0.75),Short_Cmp% (-0.73),Receiving_Rec (-0.71)
14,261,"CDM (108, 41.4%)","CM (61, 23.4%), RB (51, 19.5%), LB (23, 8.8%), CB (17, 6.5%), ST (1, 0.4%)",Per 90 Minutes_xG+xAG (+0.77),Challenges_Att (+0.58),Total_Cmp% (+0.51),Progression_PrgP (-0.79),Per 90 Minutes_G-PK (-0.78),Expected_npxG+xAG (-0.77)
15,260,"CM (73, 28.1%)","LB (54, 20.8%), RB (35, 13.5%), CAM (33, 12.7%), RM (29, 11.2%), LM (15, 5.8%), CDM (13, 5.0%), ST (4, 1.5%), RW (2, 0.8%), LW (1, 0.4%), CB (1, 0.4%)",Standard_PK (+0.49),Short_Cmp (+0.41),Total_Cmp (+0.39),Take-Ons_Tkld (-0.37),Receiving_Rec (-0.37),Take-Ons_Tkld% (-0.34)
16,128,"ST (116, 90.6%)","LM (4, 3.1%), CAM (3, 2.3%), RW (2, 1.6%), RM (2, 1.6%), LW (1, 0.8%)",Performance_G-PK (+2.03),Performance_G+A (+2.02),Progression_PrgR (+1.84),Long_Cmp (-1.65),CrsPA (-1.22),Medium_Cmp (-1.17)
17,158,"CB (109, 69.0%)","CDM (14, 8.9%), CM (14, 8.9%), RB (10, 6.3%), LB (9, 5.7%), LW (2, 1.3%)",Per 90 Minutes_npxG+xAG (+1.76),90s (+1.66),Per 90 Minutes_xAG (+0.76),Tackles_Def 3rd (-1.04),Carries_PrgDist (-1.02),Tackles_Att 3rd (-0.93)
18,51,"ST (49, 96.1%)","LM (1, 2.0%), CAM (1, 2.0%)",Performance_G+A (+4.50),Performance_G-PK (+4.40),Expected_G-xG (+4.39),Blocks_Sh (-1.22),Total_Cmp% (-1.15),Challenges_Tkl% (-1.14)
19,102,"CDM (40, 39.2%)","CM (31, 30.4%), CB (14, 13.7%), RB (11, 10.8%), LB (6, 5.9%)",Standard_G/SoT (+2.33),Take-Ons_Succ (+2.23),Expected_xA (+2.12),Standard_G/Sh (-0.62),Per 90 Minutes_G+A (-0.62),Expected_npxG/Sh (-0.57)
