league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,22,2001,Left,RW,0.0483723,-0.034566335,-0.5446947,0.31739855,0.31199715,0.20053585,0.083111614,-0.050523315,0.08408489,0.49032658
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,25,1999,Right,CDM,0.21233188,-0.1412444,-0.015043535,-0.11074405,-0.11988153,-0.37889522,-0.061010852,0.068299234,-0.15794726,0.3047116
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,23,2001,Right,LW,0.32301667,-0.11440898,0.08802251,0.46741128,0.22154962,0.037342303,-0.20830426,-0.08882339,0.50993603,0.16589878
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,24,2000,Left,CB,-0.08667332,-0.05614467,0.45567584,-0.12716901,-0.09647004,0.7102273,-0.23980147,-0.04825938,-0.30064207,-0.25658336
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,23,2001,Right,RB,0.111359075,0.24162108,0.05287095,-0.30789644,-0.077750064,-0.039957657,-0.11338124,-0.29420164,0.15640745,0.06999299
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,25,1999,Left,ST,0.53629553,0.39588344,0.0825219,0.38342354,0.32650873,0.15599488,-0.26597562,0.12789948,0.0169614,-0.10138945
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,29,1994,Right,LW,0.114626825,-0.019972604,-0.2425399,0.205315,0.16597547,-0.19979163,-0.16352959,0.15070018,0.21404293,0.22435747
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,25,1998,Left,CM,-0.010945822,-0.2551018,-0.3058145,0.052778255,-0.0741551,-0.17889409,0.17442448,-0.61155486,-0.088110074,0.39093834
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,28,1996,Left,CM,0.69783574,0.33510342,0.06285582,0.032914694,0.19027117,0.22031,-0.3178571,0.34767807,-0.009700985,-0.15022269
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,17,2006,Left,LB,0.046527945,-0.13714564,0.32301164,-0.11553927,-0.10158691,0.61870134,-0.30850968,-0.2571351,-0.008197996,-0.18807402
ENG-Premier League,2024 - 2025,Arsenal,Riccardo Calafiori,ITA,22,2002,Left,LB,0.32337615,0.06943151,0.2562323,-0.17097089,0.16886394,0.6279137,-0.02012639,-0.047029193,-0.07678539,-0.16431388
ENG-Premier League,2024 - 2025,Arsenal,Thomas Partey,GHA,31,1993,Right,CDM,0.59816134,0.01800557,-0.057453025,-0.56557614,-0.19553247,-0.21729387,-0.38958994,-0.014892319,0.020981086,0.0032889128
ENG-Premier League,2024 - 2025,Arsenal,William Saliba,FRA,23,2001,Right,CB,0.65527207,0.23263533,0.7478344,-0.5026011,-0.08369546,-0.18607995,-0.5765571,-0.67125946,-0.16738452,-0.13347693
ENG-Premier League,2024 - 2025,Aston Villa,Amadou Onana,BEL,22,2001,Right,CDM,0.4139506,0.2071374,0.20351848,-0.30047068,0.09283138,0.2592396,-0.058259398,-0.058109067,-0.010762433,-0.35800236
ENG-Premier League,2024 - 2025,Aston Villa,Boubacar Kamara,FRA,24,1999,Right,CDM,0.16616651,0.17429268,0.09658547,-0.29274985,-0.30219558,0.33148268,-0.1486959,0.035987526,0.039385233,-0.22623853
ENG-Premier League,2024 - 2025,Aston Villa,Ezri Konsa,ENG,26,1997,Right,CB,-0.04239818,0.19375245,0.577116,-0.30398127,-0.20802566,-0.02229227,-0.33227655,-0.41281626,-0.12039677,-0.17425264
ENG-Premier League,2024 - 2025,Aston Villa,Ian Maatsen,NED,22,2002,Left,LB,0.25305492,-0.0326908,0.0219603,0.0077648317,-0.17377043,0.47240463,0.014072521,-0.031903062,0.028358767,0.1371402
ENG-Premier League,2024 - 2025,Aston Villa,Jacob Ramsey,ENG,23,2001,Right,LM,0.09071212,0.18022366,-0.04493463,-0.11484024,0.06855868,0.25351223,0.15098286,-0.24597363,0.15343608,0.039595187
ENG-Premier League,2024 - 2025,Aston Villa,John McGinn,SCO,29,1994,Left,LM,0.0822229,0.20370553,-0.11565187,-0.075978465,-0.10476679,0.016255215,0.19311735,-0.049237862,-0.012914431,0.10125812
ENG-Premier League,2024 - 2025,Aston Villa,Leon Bailey,JAM,26,1997,Left,RM,-0.08629877,-0.06962211,0.059433755,0.17932445,0.039216146,0.50167865,0.34913865,-0.080007926,0.114771046,0.020052115
ENG-Premier League,2024 - 2025,Aston Villa,Lucas Digne,FRA,31,1993,Left,LB,0.4053239,0.1786485,0.14683901,-0.13668618,-0.4476353,0.15112267,-0.008190754,0.38964948,0.07075395,0.37697402
ENG-Premier League,2024 - 2025,Aston Villa,Matty Cash,POL,26,1997,Right,RB,0.12192501,0.10484064,0.23291288,-0.2617768,-0.20839137,0.21254091,0.00954596,0.16135515,0.22398227,-0.01020496
ENG-Premier League,2024 - 2025,Aston Villa,Morgan Rogers,ENG,22,2002,Right,CAM,0.089067854,-0.115144715,-0.099874556,-0.102847114,0.47165537,-0.37255034,0.15770753,0.1524233,0.37368673,0.2711005
ENG-Premier League,2024 - 2025,Aston Villa,Ollie Watkins,ENG,28,1995,Right,ST,-0.21712857,0.45840108,-0.1291537,0.52569026,0.60597247,-0.13432227,-0.26929048,-0.020812854,-0.033400793,-0.05080091
ENG-Premier League,2024 - 2025,Aston Villa,Pau Torres,ESP,27,1997,Left,CB,0.07083966,-0.057227906,0.55064887,-0.38175455,-0.24234207,0.2279462,0.4156082,-0.5083793,-0.18826301,-0.05045475
