league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,22,2001,Left,RW,-0.3984996,-0.6608603,-0.09468954,-0.26300249,0.5536955,-0.32469067,-0.120956674,-0.017341452,0.19889852,0.049285587
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,25,1999,Right,CDM,0.03055667,-0.29005626,0.03611906,0.19149315,0.27940625,-0.111245915,-0.31160343,0.16440012,-0.20226014,-0.078385174
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,23,2001,Right,LW,-0.5739032,-0.4756839,0.27789178,0.37837094,0.71241736,0.053734552,0.10079037,0.28084463,0.113220714,0.17649318
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,24,2000,Left,CB,-0.37005663,-0.12146536,-0.24961266,0.5954531,0.63922656,0.46929398,-0.757192,-0.43781534,-0.25215483,0.15988684
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,23,2001,Right,RB,-0.03146509,-0.18487692,-0.030114368,0.45399022,0.6436982,-0.2754247,-0.49110076,0.04895559,-0.18873475,0.12698628
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,25,1999,Left,ST,-0.4436053,-0.014859105,-0.0490564,0.39702305,0.5291552,-0.111754805,-0.05290424,-0.037079208,-0.0917066,-0.11669815
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,29,1994,Right,LW,-0.12738533,-0.4459294,0.13139646,0.23561224,0.5877745,-0.23594365,-0.13057154,0.033302072,-0.09663328,0.01053837
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,25,1998,Left,CM,-0.15190345,-0.5548368,-0.36595535,0.071348004,0.31659168,-0.17392243,-0.31601405,0.3273738,0.004151805,0.3878861
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,28,1996,Left,CM,-0.33751893,-0.12772976,0.14275135,0.47640356,0.486023,-0.19385791,-0.30147702,-0.22231385,-0.19668832,-0.32339972
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,17,2006,Left,LB,-0.35316807,-0.31511888,-0.06637149,0.6614226,0.73275244,0.21790594,-0.64531916,-0.3253832,-0.15159258,0.28314877
ENG-Premier League,2024 - 2025,Arsenal,Riccardo Calafiori,ITA,22,2002,Left,LB,-0.4649042,-0.21554683,-0.06506996,0.47795606,0.6351753,0.034148663,-0.6394134,-0.383036,0.051277984,-0.12263073
ENG-Premier League,2024 - 2025,Arsenal,Thomas Partey,GHA,31,1993,Right,CDM,0.106707685,-0.2527202,0.2970885,0.6041434,0.30094796,-0.4637481,-0.5120368,-0.047990676,-0.41819865,0.023485744
ENG-Premier League,2024 - 2025,Arsenal,William Saliba,FRA,23,2001,Right,CB,0.096545056,0.67516685,-0.07224595,0.74159056,-0.0369945,0.27204353,-0.68589133,0.28703052,-0.78909266,0.62086743
ENG-Premier League,2024 - 2025,Aston Villa,Amadou Onana,BEL,22,2001,Right,CDM,-0.18603481,-0.08511168,0.09244628,0.64866865,0.52528626,-0.17236806,-0.5052862,-0.24873339,-0.056727473,-0.08186682
ENG-Premier League,2024 - 2025,Aston Villa,Boubacar Kamara,FRA,24,1999,Right,CDM,-0.12661381,-0.25445813,-0.11525467,0.706506,0.64325875,-0.16831917,-0.5244389,-0.25786135,-0.1997823,-0.09451916
ENG-Premier League,2024 - 2025,Aston Villa,Ezri Konsa,ENG,26,1997,Right,CB,0.03844824,0.39328557,-0.3064596,0.7248891,0.44924682,0.22872572,-0.60787636,0.14346151,-0.49040812,0.34857446
ENG-Premier League,2024 - 2025,Aston Villa,Ian Maatsen,NED,22,2002,Left,LB,-0.43870667,-0.476685,-0.19910467,0.4934692,0.63197136,0.018936189,-0.5256949,-0.13069507,-0.0846302,-0.12668659
ENG-Premier League,2024 - 2025,Aston Villa,Jacob Ramsey,ENG,23,2001,Right,LM,-0.23916426,-0.2761552,-0.142794,0.41885698,0.69375235,-0.19579002,-0.47879624,0.0041953283,0.100054964,0.03442831
ENG-Premier League,2024 - 2025,Aston Villa,John McGinn,SCO,29,1994,Left,LM,-0.13372047,-0.33253446,-0.2658938,0.38610718,0.5835471,-0.18606329,-0.36466196,0.013603526,-0.058219276,-0.15603592
ENG-Premier League,2024 - 2025,Aston Villa,Leon Bailey,JAM,26,1997,Left,RM,-0.45730972,-0.3655119,-0.33189407,0.41215327,0.75218886,0.113136396,-0.37487146,-0.042315923,0.29277933,-0.057493083
ENG-Premier League,2024 - 2025,Aston Villa,Lucas Digne,FRA,31,1993,Left,LB,-0.1721571,-0.5252196,-0.0843698,0.41155395,0.58907676,-0.0061251316,-0.52794427,0.12211691,-0.3568978,-0.5558695
