league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,22,2001,Left,RW,0.3399445,-0.11924585,-0.16782935,-0.49456257,-0.40392464,-0.20076604,0.047076866,0.11722748,-0.3108606,0.28117374
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,25,1999,Right,CDM,0.5527635,-0.019545307,-0.10572417,-0.020291531,-0.22849894,0.1592448,-0.017859928,0.15989044,0.09450757,0.0004487298
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,23,2001,Right,LW,0.4554869,-0.07575116,-0.38544586,-0.62939364,-0.026019368,-0.0054381997,0.16261637,-0.165108,-0.032060824,0.423995
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,24,2000,Left,CB,0.7862686,-0.21398582,0.3176871,0.23448849,0.47507575,-0.037164394,0.33387995,-0.5195192,-0.42079023,0.14870907
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,23,2001,Right,RB,0.75066024,-0.25988913,-0.013585398,-0.06891413,-0.14652966,0.16813372,0.47297174,-0.07395151,0.11027487,-0.04437442
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,25,1999,Left,ST,0.3720143,0.2902883,0.19375409,-0.45894486,-0.084168516,-0.12129133,0.25392598,-0.29668185,-0.012971203,0.2747006
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,29,1994,Right,LW,0.52910376,0.018237485,-0.1922527,-0.53645223,-0.16201454,0.036491398,0.0784044,0.16090004,0.12230291,0.16655846
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,25,1998,Left,CM,0.37683374,-0.079266086,-0.24955705,-0.2082632,-0.3929862,0.22301516,-0.060781855,-0.016233403,-0.26212633,-0.08693244
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,28,1996,Left,CM,0.4453555,0.055429406,0.46687084,-0.2703662,-0.06922524,-0.12316717,0.264557,-0.17062949,0.05945517,0.26744804
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,17,2006,Left,LB,0.807998,-0.44161275,0.17424229,0.011669198,0.40645787,-0.039807804,0.27579695,-0.47908664,-0.31066597,0.16114013
ENG-Premier League,2024 - 2025,Arsenal,Riccardo Calafiori,ITA,22,2002,Left,LB,0.6387117,-0.24107315,0.5004414,-0.08245827,0.2293466,0.028978603,0.3718352,-0.32793376,-0.3593687,0.024156485
ENG-Premier League,2024 - 2025,Arsenal,Thomas Partey,GHA,31,1993,Right,CDM,0.63822156,-0.42116743,0.2563932,0.1424432,-0.21451554,-0.019054797,0.346265,-0.03831898,0.48811886,-0.20197782
ENG-Premier League,2024 - 2025,Arsenal,William Saliba,FRA,23,2001,Right,CB,0.79511213,0.027911201,-0.13692966,0.57809013,0.23936608,-0.17881694,0.6279912,-0.54843664,0.39005527,-0.44837257
ENG-Premier League,2024 - 2025,Aston Villa,Amadou Onana,BEL,22,2001,Right,CDM,0.6314656,-0.18734996,0.48413947,0.009507298,0.09012098,0.13457589,0.41122723,-0.33744803,0.022979729,-0.03281836
ENG-Premier League,2024 - 2025,Aston Villa,Boubacar Kamara,FRA,24,1999,Right,CDM,0.7835081,-0.30075353,0.4035788,0.089625515,-0.11766864,0.1989766,0.37177333,-0.31025523,0.06311275,0.21101744
ENG-Premier League,2024 - 2025,Aston Villa,Ezri Konsa,ENG,26,1997,Right,CB,0.82406694,0.10156337,-0.058593232,0.41038138,0.23612738,0.1448175,0.51665676,-0.48239183,0.19324265,-0.11202551
ENG-Premier League,2024 - 2025,Aston Villa,Ian Maatsen,NED,22,2002,Left,LB,0.6856887,-0.3730396,0.13802505,-0.14332329,-0.16561346,0.109660104,0.17692854,-0.1742437,-0.367187,0.36976355
ENG-Premier League,2024 - 2025,Aston Villa,Jacob Ramsey,ENG,23,2001,Right,LM,0.72300184,-0.21281049,0.08374862,-0.4193567,-0.18270424,0.27588564,0.31113023,-0.15090726,-0.20392434,0.055669244
ENG-Premier League,2024 - 2025,Aston Villa,John McGinn,SCO,29,1994,Left,LM,0.6970868,-0.011640475,0.08033905,-0.25382745,-0.36473912,0.33745334,0.2130182,0.005732734,-0.044487383,0.13392109
ENG-Premier League,2024 - 2025,Aston Villa,Leon Bailey,JAM,26,1997,Left,RM,0.62558466,-0.15893723,0.06505564,-0.48173398,-0.12298921,0.35879397,0.13297455,-0.25071004,-0.47319412,0.2933334
ENG-Premier League,2024 - 2025,Aston Villa,Lucas Digne,FRA,31,1993,Left,LB,0.709394,-0.3270574,-0.07874652,0.12040969,-0.20404197,0.15767533,0.33921716,0.25316915,-0.08635171,0.55647933
ENG-Premier League,2024 - 2025,Aston Villa,Matty Cash,POL,26,1997,Right,RB,0.6882674,-0.35609087,0.14729844,0.02034335,0.10083038,0.30935013,0.46267125,-0.025801072,-0.048328754,0.28066278
ENG-Premier League,2024 - 2025,Aston Villa,Morgan Rogers,ENG,22,2002,Right,CAM,0.39840356,-0.08850426,-0.29051033,-0.6529209,0.030998737,0.28816792,0.18287276,0.33532834,0.1629575,-0.10238007
ENG-Premier League,2024 - 2025,Aston Villa,Ollie Watkins,ENG,28,1995,Right,ST,-0.00598644,0.3068769,-0.050579645,-0.5430903,0.08162581,-0.17255378,0.34739935,-0.14126533,-0.11232287,0.16251683
ENG-Premier League,2024 - 2025,Aston Villa,Pau Torres,ESP,27,1997,Left,CB,0.7839126,-0.091919884,-0.054769423,0.32625976,0.20834942,0.45603552,0.44852012,-0.42634448,-0.28576082,-0.2179386
ENG-Premier League,2024 - 2025,Aston Villa,Tyrone Mings,ENG,31,1993,Left,CB,0.71561396,0.04760486,0.16096182,0.28694206,0.25533864,0.37165964,0.59271914,-0.5199195,-0.57211405,0.05710058
ENG-Premier League,2024 - 2025,Aston Villa,Youri Tielemans,BEL,27,1997,Right,CM,0.51882696,-0.19354986,0.09339465,0.14240535,-0.39191747,0.044155292,0.06633114,0.26708087,0.2688969,0.011203528
ENG-Premier League,2024 - 2025,Bournemouth,Antoine Semenyo,GHA,24,2000,Right,RM,0.27959737,-0.122947834,-0.3357513,-0.6863067,-0.012528511,0.20695296,0.27149054,0.13917881,0.44628376,0.13314356
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,0.42305335,-0.0056465087,0.013870484,-0.5266059,-0.30171105,0.02510713,0.14533761,0.059172165,0.06185022,0.52860117
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,0.6840074,-0.107401036,0.33630642,-0.40979317,-0.30120936,0.13657536,-0.07021211,-0.46278778,-0.22191806,0.52202725
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,19,2005,Right,CB,0.6160934,0.24677613,0.057334796,0.510317,0.196004,0.10505234,0.30168974,-0.12802462,0.05195017,0.057458527
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,24,1999,Right,ST,0.2009859,0.38532862,0.29435825,-0.45486698,-0.085613765,0.13894416,0.2897489,-0.39413857,0.035504058,0.3067632
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,21,2002,Right,CB,0.6783586,0.1589602,0.08279037,0.5015017,-0.0016403258,0.49056387,0.52572834,-0.12391341,0.1428918,-0.13346255
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,25,1999,Right,CAM,-0.24260756,-0.23298556,0.098943636,-0.20980237,-0.0979442,0.14343852,0.17625868,-0.054494925,-0.2267464,0.2548642
