league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,22,2001,Left,RW,Winger,0.021419864,-0.036567606,0.36293802,0.22336432,0.5450927,0.24073797,1.1161008,-0.3554377,-0.039609592,0.03230281,0.513146,-0.06822392,0.42085943,-0.061765894,-0.50723904,0.28637058
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,25,1999,Right,CDM,CDM,0.20862961,-0.053711236,0.50959015,-0.012668841,0.27556863,0.5095317,0.061270345,0.12049411,0.19669987,-0.023762451,0.13626954,-0.7704396,0.09413126,-0.02379492,0.3276584,0.11198804
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,23,2001,Right,LW,Winger,-0.25390354,-0.21985933,0.6992839,-0.22514479,-0.18184215,0.5251979,0.5194292,0.020100612,0.24019238,-0.09012909,0.43090034,0.3394336,0.018863034,0.13464294,-0.6057836,0.49655864
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,24,2000,Left,CB,CB,0.2902543,-0.8908962,-0.9484097,-0.8762655,-0.3335891,0.6058769,0.6224747,0.4570371,-0.2574109,0.009099016,0.84234226,-0.08130824,0.0911991,0.20935604,-0.023372099,0.34506986
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,23,2001,Right,RB,Fullback,0.34305918,-0.37470466,-0.30829647,-0.16944708,0.66685116,0.5874152,-0.27937484,0.2849068,0.35600126,-0.0020548664,0.56046766,-0.50113624,-0.20845602,-0.13287532,-0.34927744,0.5600628
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,25,1999,Left,ST,ST,0.33864406,0.1556364,0.34837222,-0.494619,-0.079067945,0.5678527,0.25726175,-0.078323215,-0.2884209,0.03950423,0.33053857,0.10784865,0.360295,0.064844444,-0.7357331,0.5372195
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,29,1994,Right,LW,Winger,-0.014835369,-0.045047272,0.902247,-0.10917878,0.3039841,0.56985545,0.11879345,-0.017917335,0.2881716,0.0007286798,0.6771712,-0.25086322,0.31797636,0.034499332,-0.22145647,0.21439622
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,25,1998,Left,CM,CM,-0.4285153,0.17998526,0.15508969,0.21055284,0.5587796,0.32690924,0.08465462,-0.29295284,0.2728674,-0.11210813,0.47238642,-0.9301338,-0.04573925,-0.45469612,-0.24714807,0.29941916
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,28,1996,Left,CM,CM,0.69728386,-0.2049535,0.05583655,-0.30322677,0.033651657,0.46734023,0.2793242,0.42388743,-0.21103717,-0.10673691,0.4883784,-0.07804139,0.626423,0.19362572,-0.7606555,0.4482815
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,17,2006,Left,LB,Fullback,0.18370837,-0.9986809,-0.8450328,-0.8165562,-0.16969652,0.6672528,0.49330723,0.4705646,-0.12086158,-0.022694658,0.9467674,-0.09360259,-0.108567946,0.20937642,-0.2564911,0.34870204
ENG-Premier League,2024 - 2025,Arsenal,Riccardo Calafiori,ITA,22,2002,Left,LB,Fullback,0.22163744,-0.46491188,-0.8345305,-0.41868147,-0.040317804,0.438609,0.6532478,0.79455656,0.12979025,0.45560887,0.63535297,-0.024907125,0.47075832,-0.04528539,-0.34011775,0.57994866
ENG-Premier League,2024 - 2025,Arsenal,Thomas Partey,GHA,31,1993,Right,CDM,CDM,0.629211,-0.40998963,-0.10436409,0.13420118,0.5686734,0.48112613,-0.5737437,0.9891305,0.33034298,-0.1359611,0.37976968,-0.6062416,-0.018826604,-0.113069534,-0.17661011,-0.1299676
ENG-Premier League,2024 - 2025,Arsenal,William Saliba,FRA,23,2001,Right,CB,CB,-0.038167458,-0.31315947,-0.5404512,-0.5872871,0.2743486,0.7067638,-0.8639152,0.73322636,-0.25379905,-0.9493481,-0.06666593,-0.10283841,-0.8182642,0.5128341,0.20099396,-0.2334815
ENG-Premier League,2024 - 2025,Aston Villa,Amadou Onana,BEL,22,2001,Right,CDM,CDM,0.44885322,-0.3172362,-0.52551275,-0.3338538,-0.09262326,0.69389224,0.108908355,0.751953,0.120226085,0.18808892,0.75003856,-0.18584093,0.22869788,0.23238072,-0.09633412,0.19889912
ENG-Premier League,2024 - 2025,Aston Villa,Boubacar Kamara,FRA,24,1999,Right,CDM,CDM,0.53276664,-0.5869163,-0.5389668,-0.15641218,-0.09605789,0.5686637,0.05422504,0.42501754,-0.12748043,0.19218393,0.9545179,-0.2779426,-0.020736814,-0.118817866,0.00910604,0.53064615
